City,Country,Temperature,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
Cortez,US,74.28,48,1,6.91,37.3489,-108.5859
Rikitea,PF,71.37,72,100,27.09,-23.1203,-134.9692
Oranjemund,NA,62.89,36,0,10.09,-28.55,16.4333
Vaini,TO,80.76,83,40,6.91,-21.2,-175.2
Al Bardīyah,LY,75.45,84,0,11.61,31.7561,25.0865
Lavrentiya,RU,51.73,79,100,11.7,65.5833,-171.0
Talnakh,RU,54.0,78,100,2.98,69.4865,88.3972
Mbekenyera,TZ,61.86,85,3,4.43,-10.0,38.9833
Cherskiy,RU,51.19,48,97,15.43,68.75,161.3
Christchurch,NZ,50.72,84,90,4.0,-43.5333,172.6333
Puerto Ayora,EC,72.55,93,96,5.01,-0.7393,-90.3518
Sungai Penuh,ID,76.53,56,25,2.95,-2.0833,101.3833
Naze,JP,85.12,82,100,12.5,28.3667,129.4833
Kisanga,TZ,65.08,80,45,2.53,-7.4362,37.7034
Chino Valley,US,76.73,63,75,4.61,34.7575,-112.4538
Broome,US,68.74,88,75,1.99,42.2506,-75.833
Hilo,US,76.44,83,90,11.5,19.7297,-155.09
Mâncio Lima,BR,72.86,91,65,2.8,-7.6142,-72.8958
Khatanga,RU,62.02,69,99,3.8,71.9667,102.5
Souillac,MU,70.18,83,40,9.22,-20.5167,57.5167
Busselton,AU,54.05,78,85,9.53,-33.65,115.3333
Quartucciu,IT,70.23,77,0,9.22,39.2519,9.1794
Portland,US,77.04,50,20,1.99,45.5234,-122.6762
Bluff,NZ,47.8,81,100,8.57,-46.6,168.3333
Saint George,US,99.63,19,1,5.01,37.1041,-113.5841
Chatrā,IN,80.58,59,98,6.91,24.2167,84.8667
Upernavik,GL,39.56,76,94,8.61,72.7868,-56.1549
Los Llanos de Aridane,ES,65.95,88,0,12.66,28.6585,-17.9182
Punta Arenas,CL,37.51,81,75,4.61,-53.15,-70.9167
Lebu,CL,44.85,75,75,15.93,-37.6167,-73.65
Saskylakh,RU,62.46,43,100,15.43,71.9167,114.0833
Fortuna,US,59.49,85,90,7.0,40.5982,-124.1573
Batagay-Alyta,RU,58.26,46,44,6.73,67.8006,130.4114
Albany,US,67.53,94,100,3.02,42.6001,-73.9662
Worthington,US,66.49,85,1,4.61,40.0931,-83.018
Hualmay,PE,63.16,84,38,8.5,-11.0964,-77.6139
Ribeira Grande,PT,68.0,73,16,7.72,38.5167,-28.7
Jamestown,US,60.08,98,90,4.0,42.097,-79.2353
Hermanus,ZA,52.81,80,4,9.19,-34.4187,19.2345
Atuona,PF,78.12,79,18,26.62,-9.8,-139.0333
Pevek,RU,35.28,97,100,15.12,69.7008,170.3133
Ushuaia,AR,38.86,56,40,16.11,-54.8,-68.3
Katsuura,JP,87.49,76,66,10.0,35.1333,140.3
Paamiut,GL,48.24,96,100,15.5,61.994,-49.6678
Bredasdorp,ZA,47.52,93,7,1.14,-34.5322,20.0403
Omboué,GA,70.81,85,95,1.77,-1.5746,9.2618
Nelson,NZ,56.01,94,100,1.01,-41.2833,173.2833
Kysyl-Syr,RU,70.59,30,39,4.52,63.8986,122.7617
Qaanaaq,GL,34.86,92,100,6.6,77.484,-69.3632
Abnūb,EG,85.03,26,100,5.21,27.2696,31.1511
Kahului,US,79.61,79,40,24.16,20.8947,-156.47
Kapaa,US,80.8,75,20,7.0,22.0752,-159.319
Torbay,CA,62.78,89,90,13.8,47.6666,-52.7314
Shingū,JP,81.91,82,77,5.91,33.7333,135.9833
Shimoda,JP,87.1,74,11,6.38,34.6667,138.95
Hobart,AU,54.41,59,40,3.0,-42.8794,147.3294
Bolobo,CD,73.83,53,84,2.57,-2.1667,16.2333
Dunedin,NZ,49.8,90,100,1.99,-45.8742,170.5036
Baykit,RU,55.9,96,100,6.08,61.67,96.37
Pacific Grove,US,57.47,87,40,3.0,36.6177,-121.9166
East London,ZA,55.58,51,0,5.82,-33.0153,27.9116
Asău,RO,63.41,76,0,4.29,46.4333,26.4
Codrington,AU,52.81,75,60,8.52,-38.2667,141.9667
Diu,IN,84.22,78,100,18.03,20.7141,70.9822
Berlevåg,NO,50.7,79,84,11.03,70.8578,29.0864
Atocha,BO,38.12,18,2,4.9,-20.9333,-66.2333
Thompson,CA,55.56,62,90,4.61,55.7435,-97.8558
Abengourou,CI,68.63,100,100,1.52,6.7297,-3.4964
Baiyin,CN,77.88,34,2,4.34,36.5583,104.2081
Tasiilaq,GL,41.16,79,100,4.38,65.6145,-37.6368
Guilin,CN,84.31,73,93,0.89,25.2819,110.2864
Uíge,AO,61.32,70,30,2.28,-7.6087,15.0613
Pisco,PE,60.85,88,75,9.22,-13.7,-76.2167
Green River,US,82.92,23,14,8.43,41.5286,-109.4662
Arraial do Cabo,BR,69.26,90,6,7.23,-22.9661,-42.0278
Mar del Plata,AR,45.84,58,90,15.01,-38.0023,-57.5575
Lüderitz,NA,67.96,36,0,16.02,-26.6481,15.1594
Ayan,RU,72.0,50,11,6.78,56.45,138.1667
Brae,GB,53.51,83,68,13.98,60.3964,-1.353
Dikson,RU,34.79,90,100,10.0,73.5069,80.5464
Cape Town,ZA,48.79,100,1,5.75,-33.9258,18.4232
Barrow,US,42.82,94,90,14.97,71.2906,-156.7887
Cidreira,BR,55.78,69,69,14.94,-30.1811,-50.2056
Rocha,UY,43.81,71,28,16.67,-34.4833,-54.3333
Kavieng,PG,85.19,70,78,8.59,-2.5744,150.7967
Port Alfred,ZA,55.65,65,0,6.29,-33.5906,26.891
Nālūt,LY,77.27,36,0,8.48,30.3333,10.85
Fes,MA,71.85,52,0,4.61,34.0372,-4.9998
Yar-Sale,RU,53.65,58,19,8.01,66.8333,70.8333
Yaring,TH,87.84,64,98,9.15,6.8662,101.3689
Chake Chake,TZ,73.53,78,26,11.43,-5.2459,39.7666
Fukuechō,JP,80.96,83,75,5.75,32.6881,128.8419
Hithadhoo,MV,81.79,74,44,6.89,-0.6,73.0833
Erenhot,CN,78.55,45,0,12.24,43.6475,111.9767
Heilbron,ZA,37.42,32,0,8.39,-27.2812,27.9709
Stromness,GB,53.85,85,100,16.78,58.965,-3.296
Bambous Virieux,MU,70.05,83,40,9.22,-20.3428,57.7575
Maceió,BR,71.04,94,0,3.44,-9.6658,-35.7353
Puerto Ayacucho,VE,74.71,90,59,2.8,5.6639,-67.6236
Khorixas,NA,61.92,36,1,16.64,-20.3667,14.9667
Livny,RU,71.19,73,31,5.01,52.4253,37.6069
Krasnosel'kup,RU,57.34,52,56,6.33,65.7,82.4667
Ilhabela,BR,66.27,88,17,2.59,-23.7781,-45.3581
Sovetskiy,RU,65.57,64,100,5.28,61.3614,63.5842
Esperance,AU,58.84,72,23,13.15,-33.8667,121.9
New Norfolk,AU,54.39,41,83,5.37,-42.7826,147.0587
Kavaratti,IN,82.78,76,99,19.82,10.5669,72.642
Sinnamary,GF,77.97,83,62,6.49,5.3833,-52.95
Castro,BR,53.44,96,57,5.66,-24.7911,-50.0119
Bengkulu,ID,83.43,67,82,1.16,-3.8004,102.2655
Mitsamiouli,KM,76.48,66,60,10.07,-11.3847,43.2844
Port Macquarie,AU,64.81,40,0,11.1,-31.4333,152.9167
Dauphin,CA,77.14,83,75,6.91,51.1494,-100.0502
Carnarvon,AU,62.67,48,93,4.61,-24.8667,113.6333
Buchanan,LR,76.05,88,99,7.25,5.8808,-10.0467
Zaysan,KZ,79.5,24,4,1.48,47.4667,84.8667
Muros,ES,62.56,89,0,2.53,42.7762,-9.0603
Bintulu,MY,85.91,79,20,3.0,3.1667,113.0333
Broken Hill,AU,51.51,58,75,8.05,-31.95,141.4333
Olinda,BR,71.33,88,40,5.75,-8.0089,-34.8553
Hornepayne,CA,66.65,66,63,5.88,49.2138,-84.7705
Butaritari,KI,83.53,77,34,15.43,3.0707,172.7902
Anyama,CI,76.01,85,89,3.83,5.4946,-4.0518
Mataura,NZ,47.48,93,100,0.38,-46.1927,168.8643
Port Elizabeth,ZA,44.89,93,0,4.61,-33.918,25.5701
Yellowknife,CA,57.07,44,20,6.91,62.456,-114.3525
Tuktoyaktuk,CA,78.8,38,40,13.8,69.4541,-133.0374
Lagoa,PT,67.15,71,53,10.87,39.05,-27.9833
Wattens,AT,57.4,94,75,1.14,47.2722,11.5993
Guerrero Negro,MX,69.1,81,0,14.81,27.9769,-114.0611
Saint-Augustin,CA,63.07,60,86,9.62,51.226,-58.6502
Severo-Kuril'sk,RU,58.03,94,100,1.95,50.6789,156.125
Geraldton,AU,59.41,82,0,10.36,-28.7667,114.6
Nioro,GM,79.43,83,81,7.09,13.35,-15.75
Haines Junction,CA,76.95,16,6,4.61,60.7522,-137.5108
Provideniya,RU,47.5,96,100,6.87,64.3833,-173.3
Mahuva,IN,85.03,74,97,13.06,21.0914,71.7622
Riyadh,SA,86.14,63,99,6.93,24.6877,46.7219
Baijiantan,CN,82.85,29,100,8.99,45.6333,85.1833
Chapais,CA,65.98,63,55,3.85,49.7834,-74.8492
Goundam,ML,90.81,44,46,17.05,16.4145,-3.6708
Vila Velha,BR,73.35,73,0,9.22,-20.3297,-40.2925
Cabo San Lucas,MX,83.82,76,20,11.5,22.8909,-109.9124
Poum,NC,75.36,73,10,11.03,-20.2333,164.0167
Suntar,RU,83.37,43,7,6.15,62.1444,117.6319
Peterongan,ID,89.2,53,75,1.77,-7.5394,112.2792
Katherine,AU,84.52,28,15,10.36,-14.4667,132.2667
Marinette,US,65.05,88,1,0.0,45.1,-87.6307
Nikolskoye,RU,60.62,66,0,4.29,59.7035,30.7861
San Quintín,MX,69.06,85,3,8.3,30.4833,-115.95
City of Saint Peters,US,74.39,70,1,3.0,38.8003,-90.6265
Tsimmerbude,RU,68.05,89,50,6.91,54.675,20.1347
Usogorsk,RU,63.28,54,0,3.02,63.4106,48.6872
Touros,BR,74.3,90,10,11.12,-5.1989,-35.4608
Camopi,GF,70.32,99,85,2.21,3.1655,-52.3158
Dniprorudne,UA,70.43,69,0,7.96,47.3817,34.9765
Mehamn,NO,50.88,83,46,15.97,71.0357,27.8492
Leningradskiy,RU,60.58,60,100,10.51,69.3833,178.4167
Kundiawa,PG,79.77,39,100,5.06,-6.0167,144.9667
Mahébourg,MU,70.09,83,40,9.22,-20.4081,57.7
Jacareacanga,BR,76.96,65,44,2.04,-6.2222,-57.7528
Conceição da Barra,BR,69.35,84,0,6.2,-18.5933,-39.7322
Koygorodok,RU,64.45,86,58,4.03,60.445,50.9968
Kununurra,AU,82.38,20,86,10.36,-15.7667,128.7333
Gambēla,ET,68.52,96,96,1.19,8.25,34.5833
Yangi Marg`ilon,UZ,77.72,53,94,6.91,40.4272,71.7189
Ipixuna,BR,78.75,97,17,3.38,-1.7625,-48.8043
Yulara,AU,62.44,45,0,10.36,-25.2406,130.9889
Bethel,US,73.4,97,100,1.43,41.3712,-73.414
Cayenne,GF,81.09,82,0,1.01,4.9333,-52.3333
Gobabis,NA,45.59,59,0,10.29,-22.45,18.9667
Coyhaique,CL,39.15,75,0,5.75,-45.5752,-72.0662
Leer,SS,70.99,94,100,4.32,8.3018,30.1418
Sangar,RU,69.57,36,10,7.78,63.9242,127.4739
Laguna,US,92.03,28,1,1.01,38.421,-121.4238
Marsh Harbour,BS,82.24,70,8,10.02,26.5412,-77.0636
Havelock,US,80.15,86,13,5.01,34.8791,-76.9013
Methóni,GR,71.46,81,4,12.88,36.8197,21.7049
Ivanovka,KG,72.03,29,0,0.72,42.8878,75.085
Harper,LR,75.87,80,99,8.61,4.375,-7.7169
Linkou,CN,85.48,68,29,3.78,45.3,130.2833
Kiunga,PG,83.48,71,100,4.32,-6.1219,141.2906
Sitka,US,60.69,77,75,3.44,57.0531,-135.33
Piaçabuçu,BR,73.24,89,13,3.76,-10.4056,-36.4344
Aix-les-Bains,FR,66.31,82,90,1.99,45.6834,5.9224
Guymon,US,80.58,61,20,8.05,36.6828,-101.4816
Katima Mulilo,NA,48.74,81,3,4.9,-17.5,24.2667
Nishihara,JP,87.51,74,75,12.66,26.1842,127.7558
Avarua,CK,78.85,69,0,10.36,-21.2078,-159.775
San Patricio,US,82.74,80,5,8.81,28.017,-97.5169
Kruisfontein,ZA,48.25,70,0,6.51,-34.0033,24.7314
Gornji Milanovac,RS,64.4,99,99,0.25,44.0333,20.45
Nome,US,51.87,83,90,13.8,64.5011,-165.4064
Boppard,DE,60.55,99,12,3.31,50.2308,7.5899
Saint-Philippe,RE,67.39,82,35,9.51,-21.3585,55.7679
Buguruslan,RU,70.59,60,4,4.76,53.6554,52.442
Chokurdakh,RU,44.47,64,100,19.37,70.6333,147.9167
Coquimbo,CL,51.53,87,75,0.0,-29.9533,-71.3436
Neyshabur,IR,77.9,21,11,4.0,36.2133,58.7958
Tiksi,RU,44.47,64,97,6.22,71.6872,128.8694
Kedgwick,CA,58.59,75,100,1.99,47.6446,-67.3434
Vanimo,PG,83.46,75,94,3.83,-2.6741,141.3028
Kulhudhuffushi,MV,81.73,79,100,14.56,6.6221,73.07
Santa Isabel Rio Negro,BR,71.92,99,65,1.92,-0.4139,-65.0192
Gewanē,ET,79.72,52,99,9.48,10.1664,40.6453
Kenai,US,67.77,66,1,6.91,60.5544,-151.2583
Honiara,SB,85.39,78,99,9.89,-9.4333,159.95
Walvis Bay,NA,75.09,30,4,11.59,-22.9575,14.5053
Grand Gaube,MU,70.2,75,45,23.47,-20.0064,57.6608
Bandarbeyla,SO,79.63,62,96,29.77,9.4942,50.8122
Verkhnyaya Inta,RU,58.17,79,61,12.39,65.9811,60.3094
Camocim,BR,76.06,88,26,8.86,-2.9022,-40.8411
Luoyang,CN,79.84,76,100,12.08,34.6836,112.4536
Sur,OM,83.73,70,4,18.12,22.5667,59.5289
Klaksvík,FO,50.92,84,10,5.68,62.2266,-6.589
Byron Bay,AU,65.12,36,0,5.88,-28.65,153.6167
Egvekinot,RU,49.05,82,59,10.89,66.3167,-179.1667
Lerwick,GB,53.6,84,68,14.25,60.1545,-1.1494
Nizhneangarsk,RU,60.42,88,100,2.21,55.7833,109.55
Calahorra,ES,65.53,70,0,10.2,42.3051,-1.9652
Ixtapa,MX,78.03,89,90,5.75,20.7,-105.2
Avera,US,79.0,67,98,6.44,33.194,-82.5271
Shizunai-furukawachō,JP,75.06,80,40,8.57,42.3339,142.3669
Zima,RU,65.66,68,100,7.11,53.9202,102.0442
Lorengau,PG,82.51,76,100,3.44,-2.0226,147.2712
Loanhead,GB,57.49,86,0,4.0,55.8795,-3.1587
Rongcheng,CN,73.45,95,100,6.06,30.634,117.8517
Tiznit Province,MA,84.96,31,45,0.49,29.5833,-9.5
Port Hawkesbury,CA,62.33,89,90,0.0,45.6169,-61.3485
Port Lincoln,AU,57.74,52,100,6.6,-34.7333,135.8667
Delta del Tigre,UY,48.31,69,61,24.11,-34.7633,-56.3853
Okhotsk,RU,67.55,74,16,7.61,59.3833,143.3
Pyaozerskiy,RU,59.09,74,28,6.6,65.8333,31.1667
Bānsgāon,IN,78.93,91,100,8.93,26.5586,83.3481
Kottagūdem,IN,83.98,78,95,4.59,17.55,80.6333
São Filipe,CV,73.4,87,99,5.64,14.8961,-24.4956
Benguela,AO,67.69,85,1,3.13,-12.5763,13.4055
Muisne,EC,75.09,85,100,7.76,0.6,-80.0333
Margate,GB,58.03,88,0,1.97,51.3813,1.3862
Rio Grande,BR,44.94,69,0,16.06,-32.035,-52.0986
Wałcz,PL,60.12,91,39,8.25,53.2779,16.4712
Bhainsdehi,IN,83.44,61,96,3.76,21.6467,77.6325
Pangai,TO,77.34,85,0,17.09,-19.8,-174.35
La Ronge,CA,57.45,67,90,13.8,55.1001,-105.2842
Hasaki,JP,88.95,75,100,13.18,35.7333,140.8333
Hofn,IS,54.52,68,42,3.98,64.2539,-15.2082
Faya,SA,70.32,29,100,8.68,18.3851,42.4509
Ponta do Sol,PT,74.71,56,1,3.53,32.6667,-17.1
Angoram,PG,85.37,67,100,2.19,-4.0625,144.0661
Vitória do Mearim,BR,73.72,96,10,3.87,-3.4622,-44.8706
Aklavik,CA,83.23,33,72,10.18,68.2191,-135.0107
Lichinga,MZ,50.09,100,75,14.97,-13.3128,35.2406
Kloulklubed,PW,82.9,79,100,5.08,7.0419,134.2556
Bambanglipuro,ID,82.63,67,20,11.77,-7.95,110.2833
Korla,CN,81.57,27,100,19.22,41.7597,86.1469
Numan,NG,74.28,85,100,7.29,9.4667,12.0333
Isangel,VU,86.11,70,40,9.22,-19.55,169.2667
Pochutla,MX,82.22,90,88,4.14,15.7432,-96.4661
Koumac,NC,77.97,63,10,7.05,-20.5667,164.2833
Port Hardy,CA,64.58,63,75,9.22,50.6996,-127.4199
Dingle,PH,86.61,71,80,14.94,10.9995,122.6711
Loíza,PR,80.04,83,40,13.8,18.4313,-65.8802
Sibolga,ID,84.02,55,96,2.62,1.7427,98.7792
Kendari,ID,83.64,67,100,2.37,-3.945,122.4989
Port-Gentil,GA,74.97,72,100,4.12,-0.7193,8.7815
Ust-Kuyga,RU,52.05,46,90,2.33,70.0167,135.6
Santa Cruz del Sur,CU,77.7,87,17,13.33,20.7147,-77.9956
George Town,MY,85.59,80,20,1.01,5.4112,100.3354
